bid_id,ad_id,user_id,date_bid,bid_price,bid_status
1,3,486,2024-02-12,11296,Sent
2,3,51,2024-08-14,12451,Sent
3,6,552,2024-02-22,16450,Accepted
4,8,604,2024-07-13,21648,Accepted
5,14,597,2024-06-15,16644,Sent
6,14,1104,2024-04-29,14422,Sent
7,18,844,2024-06-19,19367,Sent
8,18,8,2024-07-29,20998,Accepted
9,20,1087,2024-06-07,22032,Sent
10,23,533,2024-07-13,17192,Sent
11,23,617,2024-04-03,20538,Accepted
12,24,1298,2024-04-21,21305,Accepted
13,28,1354,2024-06-24,14291,Sent
14,28,443,2024-06-24,13985,Sent
15,28,337,2024-05-01,13704,Accepted
16,32,709,2024-07-10,14051,Sent
17,32,873,2024-06-20,13287,Accepted
18,33,467,2023-12-27,16434,Accepted
19,35,1099,2023-12-31,10675,Accepted
20,37,1330,2024-08-08,15050,Accepted
21,38,32,2023-12-28,11491,Sent
22,38,524,2024-06-08,12409,Accepted
23,40,428,2024-08-26,16992,Sent
24,42,776,2024-08-16,16217,Sent
25,42,855,2024-08-17,17278,Sent
26,45,141,2024-04-06,14624,Accepted
27,48,670,2023-11-11,13819,Accepted
28,49,600,2024-07-03,16705,Sent
29,49,1176,2024-06-16,17298,Sent
30,49,51,2024-07-06,15975,Accepted
31,50,360,2024-03-20,18103,Accepted
32,51,740,2024-06-20,16335,Sent
33,51,275,2024-02-08,16761,Accepted
34,53,956,2024-07-17,18324,Accepted
35,59,850,2024-06-08,22921,Accepted
36,60,167,2024-01-17,20427,Accepted
37,66,427,2024-07-20,22413,Sent
38,66,1310,2024-07-07,24058,Sent
39,66,1301,2024-07-11,22178,Accepted
40,67,487,2024-05-14,10672,Accepted
41,69,1058,2024-02-08,16018,Accepted
42,71,1277,2023-12-23,10491,Accepted
43,73,1174,2024-08-22,13087,Accepted
44,74,779,2024-07-09,13162,Sent
45,74,1368,2024-08-21,12336,Accepted
46,76,1164,2024-06-22,14461,Accepted
47,77,611,2024-06-14,16138,Sent
48,77,783,2024-08-07,15474,Accepted
49,79,880,2024-08-20,17781,Sent
50,79,1251,2024-07-19,18711,Accepted
51,80,660,2024-03-02,14263,Sent
52,80,613,2024-05-22,15517,Accepted
53,81,559,2024-08-26,13006,Accepted
54,84,1362,2024-08-10,20265,Accepted
55,85,367,2024-05-08,17751,Accepted
56,89,350,2024-06-11,20109,Sent
57,89,306,2024-07-26,19987,Accepted
58,91,490,2024-08-25,21764,Accepted
59,92,7,2024-06-25,21901,Accepted
60,93,73,2023-12-22,19244,Accepted
61,94,895,2024-03-13,18474,Accepted
62,95,1410,2024-03-03,24266,Accepted
63,96,1126,2024-04-23,27452,Sent
64,96,839,2024-03-05,28342,Sent
65,96,658,2024-02-04,28635,Accepted
66,102,794,2024-07-15,10998,Accepted
67,103,635,2024-08-25,12391,Sent
68,103,1116,2024-08-26,13118,Accepted
69,105,1159,2024-07-27,12764,Sent
70,105,515,2024-06-27,11207,Accepted
71,107,788,2024-07-12,14157,Accepted
72,109,232,2024-07-14,11998,Sent
73,110,118,2023-12-29,14344,Sent
74,110,990,2024-04-12,14720,Accepted
75,116,1360,2024-05-27,14501,Accepted
76,121,127,2024-07-14,16363,Accepted
77,122,1312,2024-08-18,16509,Sent
78,122,497,2024-08-09,18339,Accepted
79,125,358,2024-06-10,23025,Sent
80,125,96,2024-08-08,23551,Accepted
81,126,193,2024-08-12,16843,Sent
82,126,558,2024-07-21,16096,Sent
83,126,417,2024-07-16,18519,Accepted
84,127,377,2024-08-14,19240,Accepted
85,128,255,2024-07-13,23341,Accepted
86,130,469,2024-06-01,23144,Sent
87,130,386,2024-07-18,24818,Accepted
88,133,1398,2024-08-16,17767,Sent
89,133,1133,2024-08-23,20710,Accepted
90,135,414,2024-07-12,21999,Accepted
91,137,131,2024-02-09,23578,Sent
92,137,646,2024-06-13,21946,Accepted
93,140,55,2024-05-08,14009,Sent
94,140,553,2024-06-10,16635,Sent
95,140,878,2024-06-23,14959,Accepted
96,145,635,2024-08-01,12660,Sent
97,145,1226,2024-06-18,12444,Sent
98,145,480,2024-08-05,11788,Accepted
99,147,169,2024-06-24,13518,Sent
100,147,1019,2024-08-11,13009,Accepted
101,149,442,2024-05-12,15804,Sent
102,149,29,2024-08-05,16358,Accepted
103,151,385,2024-06-24,13852,Sent
104,152,1280,2024-07-15,12716,Accepted
105,153,931,2024-08-25,16097,Accepted
106,156,526,2024-08-24,16812,Accepted
107,159,821,2024-05-17,21647,Accepted
108,165,578,2024-08-17,20544,Sent
109,165,661,2024-08-14,17634,Sent
110,165,456,2024-08-15,17906,Accepted
111,167,266,2024-08-25,26100,Sent
112,167,1281,2024-08-01,26032,Accepted
113,168,1467,2024-08-05,23809,Sent
114,168,1049,2024-08-20,26205,Sent
115,168,137,2024-08-22,26030,Sent
116,168,579,2024-08-23,24462,Accepted
117,171,476,2024-08-13,14666,Sent
118,171,1281,2024-08-22,15035,Accepted
119,172,1020,2024-08-17,11205,Accepted
120,174,705,2024-07-30,14591,Sent
121,174,941,2024-06-05,12843,Sent
122,174,1088,2024-08-03,13448,Accepted
123,177,415,2024-04-17,10012,Accepted
124,179,556,2024-06-09,16243,Sent
125,183,1060,2024-03-02,15525,Accepted
126,186,992,2024-08-08,21996,Accepted
127,187,1181,2024-07-02,16121,Accepted
128,189,873,2024-08-20,13959,Accepted
129,192,1494,2024-06-26,19453,Accepted
130,195,48,2024-07-17,19786,Accepted
131,197,957,2024-07-18,16430,Accepted
132,202,271,2024-08-11,21917,Sent
133,202,830,2024-06-24,20089,Sent
134,202,287,2023-12-26,21387,Sent
